tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2016-5047,Bangkok CH,Hard,32,C,20160104,247,106072,,,Alexey Vatutin,U,,RUS,23.1868583162,308,160,121840,,WC,Chaleechan Tanasugarn,R,,THA,22.0260095825,2220,1,7-5 6-2,3,Q1,101,6,3,47,27,26,14,10,0,0,3,1,66,47,23,14,10,2,5,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,246,104864,,,Alex Kuznetsov,R,183,USA,28.9117043121,350,130,105283,8,,Gerard Granollers,R,,ESP,26.9267624914,306,163,5-7 7-5 6-3,3,Q1,140,9,1,85,59,49,15,16,0,1,9,5,110,65,45,22,17,10,13,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,245,105422,,,Joshua Milton,R,,GBR,26.2231348392,356,129,111794,4,,Kamil Majchrzak,R,,POL,19.9753593429,275,188,3-6 6-3 6-4,3,Q1,109,5,9,94,44,27,23,14,3,9,5,7,80,29,20,20,14,3,10,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,244,105507,,,Cheong Eui Kim,U,,KOR,25.7850787132,379,115,106358,,,Miki Jankovic,R,,SRB,21.273100616,315,158,6-7(4) 7-6(2) 6-2,3,Q1,137,12,5,101,61,50,21,16,4,6,10,4,108,63,46,21,16,6,10,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,243,105059,,,Kento Takeuchi,U,,JPN,28.0438056126,412,106,105824,,,Kirill Dmitriev,U,,RUS,24.4052019165,395,111,6-3 7-6(6),3,Q1,91,2,2,70,38,28,18,11,3,5,0,3,61,38,24,12,10,1,4,,,,,,,,,,,,,,,,,,,,
2016-5047,Bangkok CH,Hard,32,C,20160104,242,105814,,,Maximilian Neuchrist,R,,AUT,24.4544832307,390,112,106393,6,,Frederico Ferreira Silva,L,,POR,20.7994524298,298,168,4-6 6-1 7-6(3),3,Q1,62,7,9,89,45,33,19,15,3,9,3,7,94,47,25,21,14,8,15,,,,,,,,,,,,,,,,,,,,
2016-7182,Happy Valley CH,Hard,32,C,20160104,300,126203,8,,Taylor Harry Fritz,U,,USA,18.1848049281,174,290,104534,1,,Dudi Sela,R,175,ISR,30.7515400411,100,578,7-6(7) 6-2,3,F,78,10,3,67,45,35,11,10,3,4,1,3,65,30,21,18,10,3,6,,,,,,,,,,,,,,,,,,,,
2016-7182,Happy Valley CH,Hard,32,C,20160104,299,104534,1,,Dudi Sela,R,175,ISR,30.7515400411,100,578,105916,,,Marton Fucsovics,U,,HUN,23.9041752225,214,237,6-2 6-7(2) 7-6(4),3,SF,156,1,4,116,60,37,32,16,6,10,2,3,123,75,45,23,16,6,12,,,,,,,,,,,,,,,,,,,,
2016-7182,Happy Valley CH,Hard,32,C,20160104,298,126203,8,,Taylor Harry Fritz,U,,USA,18.1848049281,174,290,106225,,Q,Andrew Whittington,R,,AUS,22.3983572895,592,55,6-0 6-2,3,SF,53,7,3,43,21,17,13,7,0,0,4,2,42,19,12,5,7,3,8,,,,,,,,,,,,,,,,,,,,
2016-7182,Happy Valley CH,Hard,32,C,20160104,297,104534,1,,Dudi Sela,R,175,ISR,30.7515400411,100,578,105596,,,Jan Satral,U,,CZE,25.4483230664,224,231,6-1 6-0,3,QF,37,5,2,36,18,16,13,7,0,0,0,5,32,19,11,0,6,4,9,,,,,,,,,,,,,,,,,,,,
